iter	Passed	Remaining
0	2	2423
1	4	2267
2	6	2093
3	8	2130
4	10	2121
5	12	2109
6	14	2111
7	16	2099
8	19	2093
9	21	2089
10	23	2095
11	25	2093
12	27	2090
13	29	2087
14	31	2083
15	33	2082
16	36	2084
17	38	2108
18	40	2107
19	42	2105
20	45	2100
21	47	2093
22	49	2087
23	51	2087
24	53	2098
25	55	2096
26	58	2093
27	60	2091
28	62	2088
29	64	2087
30	66	2092
31	69	2101
32	71	2104
33	74	2108
34	76	2116
35	79	2123
36	82	2134
37	84	2140
38	87	2146
39	89	2153
40	92	2165
41	94	2156
42	97	2168
43	100	2177
44	102	2183
45	105	2188
46	108	2192
47	110	2199
48	113	2202
49	116	2208
50	119	2217
51	121	2223
52	125	2234
53	127	2237
54	130	2240
55	133	2245
56	135	2247
57	138	2250
58	141	2258
59	144	2258
60	146	2256
61	148	2253
62	151	2251
63	153	2251
64	156	2253
65	159	2252
66	161	2250
67	164	2247
68	166	2246
69	168	2241
70	171	2237
71	173	2231
72	175	2226
73	177	2219
74	179	2219
75	181	2209
76	183	2205
77	186	2199
78	188	2194
79	190	2188
80	192	2183
81	194	2180
82	197	2178
83	199	2180
84	202	2178
85	204	2176
86	207	2174
87	209	2173
88	212	2171
89	214	2166
90	216	2161
91	218	2156
92	220	2150
93	222	2146
94	224	2141
95	226	2136
96	229	2135
97	231	2131
98	233	2127
99	235	2123
100	238	2118
101	240	2113
102	242	2111
103	244	2107
104	246	2103
105	248	2099
106	251	2095
107	253	2090
108	255	2086
109	257	2083
110	258	2073
111	261	2069
112	263	2066
113	264	2055
114	266	2050
115	268	2047
116	270	2044
117	273	2043
118	275	2040
119	277	2036
120	279	2032
121	281	2029
122	283	2018
123	285	2014
124	287	2012
125	289	2009
126	291	2006
127	293	2002
128	296	1998
129	298	1995
130	300	1994
131	303	1992
132	305	1990
133	307	1989
134	310	1988
135	312	1984
136	314	1981
137	316	1980
138	319	1979
139	321	1977
140	324	1975
141	326	1975
142	329	1974
143	331	1970
144	333	1967
145	335	1963
146	337	1960
147	339	1956
148	342	1954
149	344	1952
150	346	1948
151	348	1945
152	350	1942
153	352	1939
154	355	1935
155	357	1934
156	360	1933
157	362	1930
158	364	1926
159	366	1923
160	368	1920
161	370	1916
162	372	1913
163	374	1911
164	377	1908
165	379	1904
166	381	1902
167	383	1899
168	385	1895
169	387	1893
170	390	1890
171	392	1887
172	394	1884
173	396	1881
174	398	1878
175	400	1875
176	402	1873
177	404	1870
178	407	1867
179	409	1863
180	411	1860
181	413	1857
182	415	1854
183	417	1852
184	419	1849
185	421	1846
186	424	1843
187	426	1840
188	428	1837
189	430	1835
190	432	1833
191	434	1830
192	437	1827
193	439	1824
194	441	1821
195	443	1818
196	445	1815
197	448	1815
198	450	1813
199	452	1810
200	454	1807
201	456	1804
202	459	1802
203	461	1801
204	463	1798
205	465	1795
206	468	1793
207	470	1791
208	472	1788
209	474	1785
210	477	1784
211	479	1783
212	482	1781
213	484	1780
214	487	1778
215	489	1775
216	491	1774
217	494	1773
218	496	1771
219	499	1769
220	501	1768
221	504	1766
222	506	1765
223	509	1763
224	511	1761
225	513	1759
226	516	1757
227	518	1755
228	520	1753
229	522	1750
230	525	1747
231	527	1745
232	529	1742
233	531	1739
234	533	1736
235	535	1734
236	537	1731
237	540	1729
238	542	1726
